Resource Number,Resource Title,Author,Species - Common Name,Species - Scientific Name,Sector,Regulation,Activity,Resource Type,Taxanomic Group,URL: ,PDF Required?,Tot # of PDFs Required:,23,URL to actual document (to be included in PDF coversheet)
72,Climbing Prairie Rose ,Ontario Ministry of Natural Resources,Climbing Prairie Rose ,Rosa setigera,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CLMBNG_PRRIE_RS_EN.html,,,,
73,Colicroot ,Ontario Ministry of Natural Resources,Colicroot ,Aletris farinosa,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_COLICROOT_EN.html,,,,
74,Common Hoptree ,Ontario Ministry of Natural Resources,Common Hoptree ,Ptelea trifoliata,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CMMN_HPTREE_EN.html,,,,
75,Crooked-stem Aster ,Ontario Ministry of Natural Resources,Crooked-stem Aster ,Symphyotrichum prenanthoides,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CRKD_STM_ASTR_EN.html,,,,
76,Cucumber Tree ,Ontario Ministry of Natural Resources,Cucumber Tree ,Magnolia acuminata,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CCMBR_TREE_EN.html,,,,
77,Cutlip Minnow ,Ontario Ministry of Natural Resources,Cutlip Minnow ,Exoglossum maxillingua,~,Threatened species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CUTLIP_MNNW_EN.html,,,,
78,Deerberry ,Ontario Ministry of Natural Resources,Deerberry ,Vaccinium stamineum,~,Threatened species ,~,Website,Vascular Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_DEERBERRY_EN.html,,,,
79,Dense Blazing Star ,Ontario Ministry of Natural Resources,Dense Blazing Star ,Liatris spicata,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_DNSE_BLZNG_STR_EN.html,,,,
80,Drooping Trillium ,Ontario Ministry of Natural Resources,Drooping Trillium ,Trillium flexipes,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_DRPNG_TRLLM_EN.html,,,,
81,Dwarf Hackberry ,Ontario Ministry of Natural Resources,Dwarf Hackberry ,Celtis tenuifolia,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_DWRF_HCKBRRY_EN.html,,,,
82,Dwarf Lake Iris ,Ontario Ministry of Natural Resources,Dwarf Lake Iris ,Iris lacustris,~,Special concern species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_DWRF_LK_IRIS_EN.html,,,,
83,Eastern Flowering Dogwood ,Ontario Ministry of Natural Resources,Eastern Flowering Dogwood ,Cornus florida,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_E_FLWRNG_DGWD_EN.html,,,,
84,Eastern Meadowlark ,Ontario Ministry of Natural Resources,Eastern Meadowlark ,Sturnella magna,~,Threatened species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_MDWLRK_EN.html,,,,
85,Eastern Mole ,Ontario Ministry of Natural Resources,Eastern Mole ,Scalopus aquaticus,~,Special concern species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_ML_EN.html,,,,
86,Eastern Musk Turtle (Stinkpot) ,Ontario Ministry of Natural Resources,Eastern Musk Turtle (Stinkpot) ,Sternotherus odoratus,~,Threatened species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_MSK_TRTL_EN.html,,,,
87,Eastern Persius Duskywing ,Ontario Ministry of Natural Resources,Eastern Persius Duskywing ,Erynnis persius persius,~,Extirpated species ,~,Website,Insects,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_E_PRSIUS_DSKYWNG_EN.html,,,,
88,Eastern Prickly Pear Cactus ,Ontario Ministry of Natural Resources,Eastern Prickly Pear Cactus ,Opuntia humifusa,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_E_PRCKLY_PR_CCTS_EN.html,,,,
89,Eastern Ribbonsnake ,Ontario Ministry of Natural Resources,Eastern Ribbonsnake ,Thamnophis sauritus,~,Special concern species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_RBBNSNK_EN.html,,,,
90,Eastern Sand Darter ,Ontario Ministry of Natural Resources,Eastern Sand Darter ,Ammocrypta pellucida,~,Endangered species ,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_SND_DRTR_EN.html,,,,
91,Eastern Tiger Salamander ,Ontario Ministry of Natural Resources,Eastern Tiger Salamander ,Ambystoma tigrinum,~,Extirpated species ,~,Website,Amphibians,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_TGR_SLMNDR_EN.html,,,,
92,Eastern Wolf ,Ontario Ministry of Natural Resources,Eastern Wolf ,Canis lupus lycaon,~,Special concern species ,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESTRN_WLF_EN.html,,,,
93,Eskimo Curlew ,Ontario Ministry of Natural Resources,Eskimo Curlew ,Numenius borealis,~,Extirpated species ,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_ESKM_CRLW_EN.html,,,,
94,False Hop Sedge ,Ontario Ministry of Natural Resources,False Hop Sedge ,Carex lupuliformis,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FLS_HP_SDG_EN.html,,,,
95,False Rue-anemone ,Ontario Ministry of Natural Resources,False Rue-anemone ,Enemion biternatum,~,Threatened species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FLS_RU_ANMNE_EN.html,,,,
96,Flooded Jellyskin ,Ontario Ministry of Natural Resources,Flooded Jellyskin ,Leptogium rivulare,~,Threatened species ,~,Website,Lichens,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FLDD_JLLYSKN_EN.html,,,,
97,Forked Three-awned Grass ,Ontario Ministry of Natural Resources,Forked Three-awned Grass ,Aristida basiramea,~,Endangered species ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_FRKD_3AWND_GRSS_EN.html,,,,
